Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Revisiting the Digital Plumber: Modifying the Installation Process of an Established Commercial IoT Alarm System,Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-022-09455-2,Teresa Castle-GreenStuart ReevesJoel E. FischerBoriana Koleva,2023,https://link.springer.com/article/10.1007/s10606-022-09455-2,Article
Teaching Students Software Architecture Decision Making,Software Architecture,,,,10.1007/978-3-030-58923-3_16,Rafael CapillaOlaf ZimmermannCarlos CarrilloHernán Astudillo,2020,https://link.springer.com/chapter/10.1007/978-3-030-58923-3_16,Conference paper
A preliminary analysis of self-adaptive systems according to different issues,Software Quality Journal,,,,10.1007/s11219-020-09502-5,Claudia RaibuletFrancesca Arcelli FontanaSimone Carettoni,2020,https://link.springer.com/article/10.1007/s11219-020-09502-5,Article
Design Decisions by Voice: The Next Step of Software Architecture Knowledge Management,Human-Centered Software Engineering,,,,10.1007/978-3-030-64266-2_10,Rafael CapillaRodi JolakMichel R. V. ChaudronCarlos Carrillo,2020,https://link.springer.com/chapter/10.1007/978-3-030-64266-2_10,Conference paper
Characterizing the transfer of program comprehension in onboarding: an information-push perspective,Empirical Software Engineering,,,,10.1007/s10664-019-09741-6,Rebecca YatesNorah PowerJim Buckley,2019,https://link.springer.com/article/10.1007/s10664-019-09741-6,Article
A Decision Support System for Pattern-Driven Software Architecture,Software Architecture,,,,10.1007/978-3-030-59155-7_6,Siamak FarshidiSlinger Jansen,2020,https://link.springer.com/chapter/10.1007/978-3-030-59155-7_6,Conference paper
Design and Engineering of Adaptive Software Systems,Engineering Adaptive Software Systems,,,,10.1007/978-981-13-2185-6_1,Soichiro HidakaZhenjiang HuMarin LitoiuLin LiuPatrick MartinXin PengGuiling WangYijun Yu,2019,https://link.springer.com/chapter/10.1007/978-981-13-2185-6_1,Chapter
Retrospection and Perspectives on Pragmatic Software Architecture Design: An Industrial Report,Computer and Information Science,,,,10.1007/978-3-319-60170-0_2,Xiaofeng Cui,2018,https://link.springer.com/chapter/10.1007/978-3-319-60170-0_2,Chapter
Ontology-Driven Unified Governance in Software Engineering: The PoolParty Case Study,The Semantic Web,,,,10.1007/978-3-319-58451-5_8,Monika SolankiChristian MaderHelmut NagyMargot MücksteinMahek HanfiRobert DavidAndreas Koller,2017,https://link.springer.com/chapter/10.1007/978-3-319-58451-5_8,Conference paper
An Exploratory Study of Naturalistic Decision Making in Complex Software Architecture Environments,Software Architecture,,,,10.1007/978-3-030-29983-5_4,Ken PowerRebecca Wirfs-Brock,2019,https://link.springer.com/chapter/10.1007/978-3-030-29983-5_4,Conference paper
An industrial case study on the use of UML in software maintenance and its perceived benefits and hurdles,Empirical Software Engineering,,,,10.1007/s10664-018-9599-4,Ana M. Fernández-SáezMichel R. V. ChaudronMarcela Genero,2018,https://link.springer.com/article/10.1007/s10664-018-9599-4,Article
Do software models based on the UML aid in source-code comprehensibility? Aggregating evidence from 12 controlled experiments,Empirical Software Engineering,,,,10.1007/s10664-017-9591-4,Giuseppe ScannielloCarmine GravinoMarcela GeneroJosé A. Cruz-LemusGenoveffa TortoraMichele RisiGabriella Dodero,2018,https://link.springer.com/article/10.1007/s10664-017-9591-4,Article
On Cognitive Biases in Architecture Decision Making,Software Architecture,,,,10.1007/978-3-319-65831-5_9,Andrzej ZalewskiKlara BorowaAndrzej Ratkowski,2017,https://link.springer.com/chapter/10.1007/978-3-319-65831-5_9,Conference paper
Framework for Identifying Meta-Requirements,Bridging the Gap between Requirements Engineering and Software Architecture,,,,10.1007/978-3-658-17694-5_3,Azadeh Alebrahim,2017,https://link.springer.com/chapter/10.1007/978-3-658-17694-5_3,Chapter
Toward Requirements-Driven Design of&#xa0;Visual Modeling Languages,The Practice of Enterprise Modeling,,,,10.1007/978-3-030-02302-7_2,Jens GuldenEric Yu,2018,https://link.springer.com/chapter/10.1007/978-3-030-02302-7_2,Conference paper
The Need for Explicit Decision-Making Strategies,Architectural Coordination of Enterprise Transformation,,,,10.1007/978-3-319-69584-6_15,Georgios Plataniotis,2017,https://link.springer.com/chapter/10.1007/978-3-319-69584-6_15,Chapter
Design Decision Documentation: A Literature Overview,Software Architecture,,,,10.1007/978-3-319-48992-6_6,Zoya AlexeevaDiego Perez-PalacinRaffaela Mirandola,2016,https://link.springer.com/chapter/10.1007/978-3-319-48992-6_6,Conference paper
Architectural refactoring for the cloud: a decision-centric view on cloud migration,Computing,,,,10.1007/s00607-016-0520-y,Olaf Zimmermann,2016,https://link.springer.com/article/10.1007/s00607-016-0520-y,Article
Conclusions,Bridging the Gap between Requirements Engineering and Software Architecture,,,,10.1007/978-3-658-17694-5_14,Azadeh Alebrahim,2017,https://link.springer.com/chapter/10.1007/978-3-658-17694-5_14,Chapter
Phase 2: Architectural Pattern Selection &amp; Application,Bridging the Gap between Requirements Engineering and Software Architecture,,,,10.1007/978-3-658-17694-5_5,Azadeh Alebrahim,2017,https://link.springer.com/chapter/10.1007/978-3-658-17694-5_5,Chapter
How to Perform the Solution Adequacy Check (SAC)?,Pragmatic Evaluation of Software Architectures,,,,10.1007/978-3-319-34177-4_6,Jens KnodelMatthias Naab,2016,https://link.springer.com/chapter/10.1007/978-3-319-34177-4_6,Chapter
Towards the Development of a Framework for Encouraging the Learning of SPICE Model by Using Knowledge Graphs,Software Process Improvement and Capability Determination,,,,10.1007/978-3-319-19860-6_16,Alvaro Fernández Del CarpioLeonardo Bermón Angarita,2015,https://link.springer.com/chapter/10.1007/978-3-319-19860-6_16,Conference paper
Assessing the benefits of search-based approaches when designing self-adaptive systems: a controlled experiment,Journal of Software Engineering Research and Development,,,,10.1186/s40411-015-0016-z,Sandro S AndradeRaimundo J de A Macêdo,2015,https://link.springer.com/article/10.1186/s40411-015-0016-z,Article
Software Designers Satisfice,Software Architecture,,,,10.1007/978-3-319-23727-5_9,Antony TangHans van Vliet,2015,https://link.springer.com/chapter/10.1007/978-3-319-23727-5_9,Conference paper
Design Methods,Research in Interactive Design (Vol. 4),,,,10.1007/978-3-319-26121-8_11,Xavier EspinachAntonio MancusoBenoit Eynard,2016,https://link.springer.com/chapter/10.1007/978-3-319-26121-8_11,Conference paper
Conceptual design of biomass-fired cogeneration plant through a knowledge-based system,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,,,10.1007/s40430-015-0326-4,José Alexandre Matelli,2015,https://link.springer.com/article/10.1007/s40430-015-0326-4,Article
